"basin_d,C,80","area,N,24,15","res_N,N,24,15","torst_N,N,24,15","crops_N,N,24,15","lvstc_N,N,24,15","country,C,80","admn_bn,C,80"
na_80282,29.767383026100000,122244.316135826000000,4218.064365234380000,0.000000000000000,27264.000000000000000,Mexico,Cozumel
na_80284,1607.438683410000000,21976.643734192800000,0.000000000000000,17688.000000000000000,33720.000000000000000,Mexico,Misc
na_80285,410.060888624000000,198657.417881293000000,0.000000000000000,0.000000000000000,15636.000000000000000,Mexico,Cozumel
na_80287,20.047421221600000,69.327949218750000,0.000000000000000,0.000000000000000,47868.000000000000000,Mexico,Cozumel
na_80292,14.579942706600000,0.000000000000000,0.000000000000000,0.000000000000000,6312.000000000000000,Mexico,Cozumel
na_80297,37.057354379400000,0.000000000000000,0.000000000000000,0.000000000000000,20604.000000000000000,Mexico,Cozumel
na_80300,67.432235018200000,0.000000000000000,0.000000000000000,0.000000000000000,720.000000000000000,Mexico,Cozumel
na_80301,31.589875864400000,0.000000000000000,0.000000000000000,0.000000000000000,2544.000000000000000,Mexico,Cozumel
na_80305,48.599809022100000,0.000000000000000,0.000000000000000,0.000000000000000,35568.000000000000000,Mexico,Cozumel
na_80307,13.364947481100000,0.000000000000000,0.000000000000000,0.000000000000000,4932.000000000000000,Mexico,Cozumel
na_80308,21.262416447200000,0.000000000000000,0.000000000000000,0.000000000000000,2544.000000000000000,Mexico,Cozumel
na_80310,51.637297086000000,21002.072163848900000,0.000000000000000,0.000000000000000,9576.000000000000000,Mexico,Cozumel
na_80311,12.757449868300000,50923.011445312500000,0.000000000000000,0.000000000000000,25104.000000000000000,Mexico,Cozumel
na_80313,63.787249341500000,117764.551161461000000,0.000000000000000,0.000000000000000,1824.000000000000000,Mexico,Cozumel
na_80315,36.449856766600000,1906.937194976810000,0.000000000000000,0.000000000000000,15180.000000000000000,Mexico,Cozumel
na_80316,41.309837668800000,0.000000000000000,0.000000000000000,0.000000000000000,2388.000000000000000,Mexico,Cozumel
na_80317,20.047421221600000,0.000000000000000,0.000000000000000,0.000000000000000,20616.000000000000000,Mexico,Cozumel
na_80319,29.159885413300000,0.000000000000000,17347.942454357100000,0.000000000000000,23328.000000000000000,Mexico,Cozumel
na_80320,19.439923608900000,0.000000000000000,0.000000000000000,0.000000000000000,23124.000000000000000,Mexico,Cozumel
na_80326,456.838204808000000,66.001810140609800,0.000000000000000,0.000000000000000,8352.000000000000000,Mexico,Cozumel
na_80329,35.234861541000000,0.000000000000000,402.776568603516000,0.000000000000000,20736.000000000000000,Mexico,Cozumel
na_80331,24.907402123800000,96.778970947265800,0.000000000000000,0.000000000000000,5112.000000000000000,Mexico,Cozumel
na_80332,21.869914060000000,0.000000000000000,0.000000000000000,0.000000000000000,23424.000000000000000,Mexico,Cozumel
na_80334,22.477411672700000,0.000000000000000,0.000000000000000,0.000000000000000,108.000000000000000,Mexico,Cozumel
na_80336,24.907402123800000,0.000000000000000,0.000000000000000,0.000000000000000,120.000000000000000,Mexico,Cozumel
na_80339,35.842359153800000,4352.958544921880000,0.000000000000000,0.000000000000000,1248.000000000000000,Mexico,Cozumel
na_80344,17.617430770500000,3099.730979003910000,0.000000000000000,0.000000000000000,732.000000000000000,Mexico,Cozumel
na_80345,12.149952255500000,0.000000000000000,0.000000000000000,0.000000000000000,108.000000000000000,Mexico,Cozumel
na_80352,22.477411672700000,0.000000000000000,0.000000000000000,0.000000000000000,216.000000000000000,Mexico,Cozumel
na_80371,15.187440319400000,0.000000000000000,0.000000000000000,0.000000000000000,108.000000000000000,Mexico,Cozumel
na_80379,43.132330507100000,2486.304404296880000,0.000000000000000,0.000000000000000,6060.000000000000000,Mexico,Cozumel
na_80396,46.169818571000000,0.000000000000000,0.000000000000000,0.000000000000000,8256.000000000000000,Mexico,Cozumel
na_80399,15.794937932200000,0.000000000000000,0.000000000000000,0.000000000000000,1944.000000000000000,Mexico,Cozumel
na_80410,39.487344830500000,43435.916391906700000,856.836053466797000,0.000000000000000,21480.000000000000000,Mexico,Cozumel
na_80429,19.439923608900000,282.319431152344000,0.000000000000000,0.000000000000000,15084.000000000000000,Mexico,Cozumel
na_80445,872.974069560000000,4675.740488332810000,0.000000000000000,0.000000000000000,16800.000000000000000,Mexico,Cozumel
na_80469,147.621919905000000,32.255172745585600,0.000000000000000,0.000000000000000,924.000000000000000,Mexico,Cozumel
na_80501,8973.347238320000000,506065.724595162000000,0.000000000000000,3827580.000000000000000,1839912.000000000000000,Mexico,Misc
na_80507,13.364947481100000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Mexico,Cozumel
na_80526,35.842359153800000,0.000000000000000,0.000000000000000,0.000000000000000,396.000000000000000,Mexico,Cozumel
